"services.name","services.entities.name","services.entities.actions"
,,"Update"
,,"Delete"
,"ExternalMetricsData","Write"
"Datatables","Schema","Create"
,,"Update"
,,"Delete"
,"Row","Create"
,,"Update"
,,"Delete"
,"Bulk","Update"
"Messaging","Integration","Create"
,,"Update"
,,"Delete"
,"SupportedContent","Create"
,,"Update"
,,"Delete"
,"ConversationPhoneNumber","Create"
,,"Update"
,,"Delete"
,"ConversationRecipient","Create"
,,"Update"
,,"Delete"
,"ConversationAccount","Create"
,,"Update"
,,"Delete"
,"ConversationDefaultSupportedContent","Create"
,,"Update"
,,"Delete"
,"ConversationThreadingWindow","Update"
"WebDeployments","Deployment","Create"
,,"Update"
,,"Delete"
,,"Activate"
,,"Deactivate"
,"Configuration","Create"
,,"Update"
,,"Delete"
,"ConfigurationVersion","Create"
,,"Delete"
"Supportability","EdgePreferences","Update"
,"EdgeTraceLevel","Update"
,"OrganizationIntegrationsAccess","Update"
,"SupportFile","Upload"
,,"Download"
,,"Delete"
,"Edge","Replace"
,,"UpdateInService"
,,"UpdateOutOfService"
,,"Cycle"
,,"Scale"
,"EdgeLogZip","Download"
,"Pcaps","Download"
,"MediaDiagnosticsTraceFile","Download"
,"EdgePcaps","Download"
,"EdgeLog","Download"
,"OrganizationFeature","Update"
,"OrganizationSettings","IpAllowlistClear"
,,"Update"
,"Product","Add"
,"User","AddPairingRole"
,"Location","Verify"
"Callback","Participant","Reschedule"
,,"Reassign"
,,"Cancel"
"Directory","User","Create"
,,"Update"
,,"Delete"
"SCIM","User","Create"
,,"Update"
,,"Delete"
"NumberPurchasing","NumberOrder","Create"
,,"Update"
,,"Delete"
