"userId","routingStatus.startTime","routingStatus.endTime","routingStatus.routingStatus","primaryPresence.startTime","primaryPresence.endTime","primaryPresence.systemPresence","primaryPresence.organizationPresenceId"
,"2022-07-26T02:33:40.223Z","2022-07-26T02:34:40.291Z","IDLE",,,,
,"2022-07-26T02:34:40.291Z","2022-07-26T02:43:24.791Z","OFF_QUEUE",,,,
,"2022-07-26T02:43:24.791Z","2022-07-26T02:45:59.081Z","IDLE",,,,
,"2022-07-26T02:45:59.081Z","2022-07-26T02:46:08.569Z","INTERACTING",,,,
,"2022-07-26T02:46:08.569Z","2022-07-26T02:53:18.875Z","IDLE",,,,
,"2022-07-26T02:53:18.875Z","2022-07-26T02:53:26.599Z","INTERACTING",,,,
,"2022-07-26T02:53:26.599Z","2022-07-26T02:56:05.119Z","IDLE",,,,
,"2022-07-26T02:56:05.119Z","2022-07-26T02:56:51.616Z","INTERACTING",,,,
,,,,"2022-07-22T10:13:37.843Z","2022-07-22T18:47:02.249Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-22T18:47:02.249Z","2022-07-25T01:36:35.448Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5"
,,,,"2022-07-25T01:36:35.448Z","2022-07-25T02:38:54.949Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-25T02:38:54.949Z","2022-07-25T03:34:50.537Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f"
,,,,"2022-07-25T03:34:50.537Z","2022-07-25T06:39:01.085Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-25T06:39:01.085Z","2022-07-25T06:40:44.410Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f"
,,,,"2022-07-25T06:40:44.410Z","2022-07-25T06:43:03.089Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-25T06:43:03.089Z","2022-07-25T06:46:57.372Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f"
,,,,"2022-07-25T06:46:57.372Z","2022-07-25T07:36:30.058Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-25T07:36:30.058Z","2022-07-25T07:38:49.850Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f"
,,,,"2022-07-25T07:38:49.850Z","2022-07-25T10:27:41.381Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-25T10:27:41.381Z","2022-07-26T01:34:45.899Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5"
,,,,"2022-07-26T01:34:45.899Z","2022-07-26T02:02:46.024Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-26T02:02:46.024Z","2022-07-26T02:11:22.451Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5"
,,,,"2022-07-26T02:11:22.451Z","2022-07-26T02:21:02.032Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-26T02:21:02.032Z","2022-07-26T02:22:55.767Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f"
,,,,"2022-07-26T02:22:55.767Z","2022-07-26T02:33:40.176Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-26T02:33:40.176Z","2022-07-26T02:34:40.273Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f"
,,,,"2022-07-26T02:34:40.273Z","2022-07-26T02:43:24.743Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-26T02:43:24.743Z","2022-07-26T03:12:17.593Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f"
,,,,"2022-07-26T03:12:17.593Z","2022-07-26T13:04:59.168Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-26T13:04:59.168Z","2022-07-27T01:03:17.131Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5"
,,,,"2022-07-27T01:03:17.131Z","2022-07-27T01:34:49.011Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-27T01:34:49.011Z","2022-07-27T02:45:50.887Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5"
,,,,"2022-07-27T02:45:50.887Z","2022-07-27T06:26:20.113Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-27T06:26:20.113Z","2022-07-27T06:41:59.715Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5"
,,,,"2022-07-27T06:41:59.715Z","2022-07-27T08:01:27.928Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
